feature,shap_mean
Revenue_l1,798204.1963811752
COGS_l364,139263.61411629242
Revenue_rmin7,111694.07423031682
COGS_l1,85170.14224978778
ord_count_l365,83082.23272758015
Revenue_l364,71151.23793202735
Revenue_2yoy_mean,65037.25236684341
Revenue_l7,64633.10092505812
COGS_yoy_ratio,53753.69300584003
COGS_l365,46049.255990793106
Revenue_yoy_ratio,43033.48335208302
dow_cos,42582.51622963287
Revenue_ewm7,41532.09281022957
ord_delivered_l365,37770.81406670031
Revenue_rm7,36618.70484324858
COGS_l7,35077.98253502686
ord_count_l7,34983.241913313184
Revenue_l14,33125.89040043542
ord_delivered_l7,30306.831323258542
promo_discount_sum,29259.251387632623
Revenue_l365,26297.04361388312
ord_cancelled_l365,26139.148955591943
doy_sin,26052.133109726467
COGS_l14,22133.163507667054
Revenue_rmin14,21156.75917618806
ord_count_l14,20931.354150930667
COGS_2yoy_mean,20315.63682944896
COGS_l28,19385.8735408676
Revenue_l28,19274.092121283302
Revenue_l2,18450.158354821313
dow_sin,18271.426516222065
Revenue_seasonal3y,17665.009258356808
COGS_l21,15534.511026800385
ord_count_l28,15151.345594069853
ord_delivered_l28,14236.209361921558
COGS_rmin7,14153.250604666662
ord_count_l30,14095.356828051164
COGS_l60,13724.069242484167
Revenue_rs7,13666.257591873093
cogs_rev_ratio_l365,13560.072537936729
Revenue_l366,13143.982504042364
COGS_l30,12839.26349622399
ord_delivered_l90,12576.387024518517
Revenue_l21,12368.29371599339
ord_cancelled_l14,12246.887091612438
wt_pageviews,12024.862694265817
COGS_l366,11889.958805749935
ord_count_l90,11764.482922641486
wt_bounce,11726.701144586823
Revenue_rq25_14,10777.190822408329
ord_cancelled_l28,10469.153363953139
Revenue_l90,10442.747291366239
ord_delivered_l14,10310.231032593041
woy_sin,9442.39203891914
ord_delivered_l30,9390.710656402294
COGS_seasonal3y,9289.96441741095
COGS_rs60,9072.554502619725
Revenue_l30,9059.678417243143
ord_cancelled_l7,9023.737660439318
ord_cancelled_l30,8997.639080864155
COGS_l2,8754.873670954881
Revenue_rmax7,8740.895285788272
COGS_rq25_7,8703.565681782547
cogs_rev_ratio_l90,8621.115500063446
time_idx,8358.660076530145
COGS_rs7,7929.784683316771
Revenue_l364_mean,7773.696675185961
ord_count_rm365,7715.215026017391
Revenue_l60,7674.691452947
Revenue_rmax14,7595.978431815565
Revenue_rq25_7,7358.1730828317395
Revenue_l3,7316.533794369312
ord_cancelled_l90,7229.783400870069
wt_visitors,7212.08971365601
cogs_rev_ratio_l28,7186.795034468173
wt_duration,7103.109855048056
Revenue_l180,7039.706136967527
Revenue_trend_ratio,6622.384017444399
COGS_ewm7,6543.21389428181
woy,6463.886924637181
COGS_l90,6191.743335427806
promo_count,5864.388620855965
COGS_l180,5688.556867343328
COGS_l364_mean,5679.214754975821
Revenue_rq75_7,5627.709974482639
Revenue_rs365,5527.460280407654
Revenue_rs14,5522.760959693876
COGS_trend_ratio,5366.259523470835
COGS_ewm14,5314.008819305368
wt_sessions,5272.353542685782
COGS_l3,5062.0187733667
doy_cos,4987.8448662221945
Revenue_rs60,4925.155590506549
Revenue_rmed14,4839.214054482398
Revenue_rmed7,4662.405661723119
ord_count_l180,4615.558183895276
COGS_rmed7,4574.390678756334
Revenue_rs28,4502.3531154478
cogs_rev_ratio_l180,4377.717485011058
ord_count_rm7,4320.444165105134
ord_cancelled_l180,4294.107446253792
Revenue_rm14,4128.676670269625
COGS_rq75_7,4103.218893168695
Revenue_rmed365,3995.420578949266
ord_delivered_l180,3858.3856254034804
COGS_rq75_28,3834.4021546407657
COGS_rm7,3747.683102471808
COGS_rq75_14,3733.4348423698048
Revenue_rq25_180,3731.6379823688685
COGS_rs28,3686.279521066513
Revenue_rmin90,3681.6083000483154
COGS_rmax7,3673.690975047739
Revenue_rmax60,3576.332393927048
COGS_rq25_365,3568.6515079650817
COGS_rs14,3433.637067070989
COGS_rmax28,3407.6109430530173
COGS_rmin14,3391.9749473830893
COGS_rs365,3262.285505691605
COGS_rq25_14,3261.5471564612617
COGS_rmed365,3217.2215279515726
ord_count_rm14,3051.4183023402557
time_sq,3043.9049468674707
Revenue_rmin28,3025.2689730889756
COGS_rmin90,2939.522104631129
COGS_rq25_28,2878.905812822638
COGS_rq25_180,2825.389925818606
Revenue_rq75_14,2823.4086600353503
Revenue_rmax28,2798.7348914497793
Revenue_rs90,2796.8781743720006
Revenue_rq25_28,2710.593704286154
ord_count_rm28,2675.5649285003274
COGS_rs90,2657.3672204897616
COGS_rm60,2627.2705708942517
promo_fixed_count,2604.6927288415854
COGS_rmed14,2579.8363539738257
COGS_ewm30,2577.946456271272
Revenue_rmin180,2571.4982937218356
woy_cos,2549.971487721731
COGS_rm14,2544.3684112387655
COGS_rmax14,2509.420407865623
Revenue_rq75_28,2498.4414439423253
Revenue_rmed28,2427.3978725945885
Revenue_rs180,2403.1477866178743
COGS_rmin28,2377.777522510675
Revenue_rm365,2348.4735900513588
COGS_rmed60,2323.85858328503
COGS_rm28,2294.099830581093
ord_count_rm90,2289.526905334729
Revenue_rm180,2254.967387934793
Revenue_rmin60,2206.554468884689
COGS_rs180,2186.5839387362585
Revenue_rq25_365,2156.086602039605
Revenue_rq75_180,2139.4262446035996
COGS_rmed180,2125.505161392846
Revenue_ewm30,2114.664814980283
COGS_rmin180,2003.9738875411263
COGS_rmax180,1943.8167583154639
COGS_rmax365,1921.3128446591547
month_sin,1887.6286040581856
COGS_rq75_180,1882.4283818885378
Revenue_ewm90,1876.4876470050806
COGS_rmed28,1875.9592118738208
COGS_rmed90,1792.5121039880248
COGS_rmin60,1779.8526599167863
COGS_rmax60,1777.0348670258372
COGS_rm365,1754.3192302151679
Revenue_rmin365,1670.5608361400598
COGS_ewm90,1643.3865275313262
COGS_rq25_90,1633.4482018410145
Revenue_rmed180,1628.5803754368367
COGS_rm180,1613.8374725202834
COGS_rq75_60,1607.8234533405887
Revenue_rmax180,1606.0743634546736
Revenue_rmed90,1586.381497639348
Revenue_rm60,1566.8623744376146
Revenue_rq25_90,1555.1577622477018
Revenue_rmax365,1526.9793175569807
COGS_rq25_60,1497.6486566503265
peak_season,1451.8292345724403
Revenue_rm90,1439.4284112520807
Revenue_rm28,1435.7792306519802
Revenue_rq75_365,1407.3794021029787
Revenue_rq25_60,1401.5823530476807
Revenue_rmax90,1400.4081446503558
COGS_rq75_90,1376.5485331079828
Revenue_rq75_60,1360.4381908735152
COGS_rmax90,1332.0467622073086
is_weekend,1307.6643296936172
Revenue_ewm14,1278.6889264913818
Revenue_ewm180,1186.6607625720378
Revenue_rq75_90,1150.6220679424996
COGS_ewm180,1134.4420089307976
COGS_rm90,1063.7745203930126
COGS_rq75_365,1059.6078761022814
Revenue_rmed60,927.8336502999015
COGS_rmin365,888.4605579666677
quarter,812.3246086631173
tet_period,595.8674382172682
month_cos,526.9644071607366
promo_pct_count,418.50006329360804
is_month_end,376.08428253534424
promo_stackable,294.30452307093316
year_end_sale,269.41789564000766
is_month_start,196.01807419318044
back_to_school,142.9149843694706
low_season,78.13050961762521
pre_tet_week,51.60549240578384
summer,35.72719811599707
is_year_end,0.0
mid_year_sale,0.0
is_quarter_end,0.0
post_tet,0.0
is_year_start,0.0
